"EV005","EV005"
"EV011","EV011"
"Welcome to the hotel's salon! Here you can change your hairstyle to truly reflect your unique style and personality! ","Bienvenido al salón del hotel. Aquí puedes cambiar tu peinado para reflejar verdaderamente tu estilo y personalidad únicos."
"You can also get a special hairstyle if you have the city's badge. Most other cities also have special, exclusive haircuts too!","También puedes obtener un peinado especial si tienes la medalla de la ciudad. La mayoría de las otras ciudades también tienen cortes de cabello especiales y exclusivos."
"EV006","EV006"
"EV012","EV012"
"Hello there, what can I do for you today?","Hola, ¿en qué puedo ayudarte hoy?"
"Change hairstyle","Cambiar peinado"
"Dye hair ($1000)","Teñir cabello (1000$)"
"Cancel","Cancelar"
"""saffron""","""saffron"""
"Oh, I'm sorry but you don't have enough money.","Lo siento, pero no tienes suficiente dinero."
"Come back anytime!","¡Vuelve cuando quieras!"
"EV001","EV001"
"EV007","EV007"
"EV002","EV002"
"EV008","EV008"
"EV003","EV003"
"EV009","EV009"
"Gaagaugh!","¡Gaagaugh!"
"EV004","EV004"
"Welcome to Saffron City's hotel.","Bienvenido al hotel de Ciudad Azafrán."
"\GIt's 50$ for a room. Would you like to rent a room?","Cuesta 50$ la habitación. ¿Quieres alquilar una?"
"Yes","Sí"
"No","No"
"\GThank you very much. I'll prepare the room for you!","Muchas gracias. ¡Prepararé la habitación para ti!"
"\PN slept for a while...","\PN durmió un rato..."
"Your Pokémon are full of energy!","¡Tus Pokémon están llenos de energía!"
"The current time is \V[74].","La hora actual es \V[74]."
"Oh, I'm awfully sorry, but you don't have enough money.","Oh, lo siento mucho, pero no tienes suficiente dinero."
"EV010","EV010"
"Fuse a weak Pokémon with a stronger Pokémon. That's the easiest way to raise a weak Pokémon!","Fusiona un Pokémon débil con uno más fuerte. ¡Esa es la manera más fácil de fortalecer a un Pokémon débil!"
